concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID42051,radlex,area of origin of clavicular part of right deltoid,Ursprung der Pars clavicularis des rechten Musculus deltoideus,,,,A00.radlex
RID42052,radlex,area of origin of clavicular part of left deltoid,Ursprung der Pars clavicularis des linken Musculus deltoideus,,,,A00.radlex
RID42053,radlex,area of insertion of trapezius,Ansatz des Musculus trapezius,,area of insertion of trapezius muscle,,A00.radlex
RID42054,radlex,area of insertion of right trapezius,Ansatz des rechten Musculus trapezius,,,,A00.radlex
RID42055,radlex,area of insertion of left trapezius,Ansatz des linken Musculus trapezius,,,,A00.radlex
RID42057,radlex,surface of body of scapula,Oberfläche des Corpus der Scapula,,,,A00.radlex
RID42058,radlex,surface of body of right scapula,Oberfläche des Corpus der rechten Scapula,,,,A00.radlex
RID42059,radlex,surface of body of left scapula,Oberfläche des Corpus der linken Scapula,,,,A00.radlex
RID42063,radlex,surface of spine of scapula,Oberfläche der Spina der Scapula,,,,A00.radlex
RID42064,radlex,surface of spine of right scapula,Oberfläche der Spina der rechten Scapula,,,,A00.radlex
RID42065,radlex,surface of spine of left scapula,Oberfläche der Spina der linken Scapula,,,,A00.radlex
RID42067,radlex,surface of base of spine of scapula,Oberfläche der Basis der Spina der Scapula,,,,A00.radlex
RID42068,radlex,surface of base of spine of right scapula,Oberfläche der Basis der Spina der rechten Scapula,,,,A00.radlex
RID42069,radlex,surface of base of spine of left scapula,Oberfläche der Basis der Spina der linken Scapula,,,,A00.radlex
