concept_id,source,en,de,tr,aliases_en,aliases_de,tree
MESH:D006829|Q192290,wikidata-mesh,Hydra,Hydra,hidralar,Hydra (hayvan),Süßwasserpolyp|Süsswasserpolyp,B01.050.500.308.485.400
MESH:D014012|Q192309,wikidata-mesh,tinnitus,Tinnitus,Kulak çınlaması,,Ohrensausen|Ohrenpfeifen|Ohrgeräusch|Tinnitus aurium,C09.218.458.670|C10.597.751.418.670|C23.888.592.763.393.670
MESH:D008891|Q192386,wikidata-mesh,military science,Militärwissenschaft,Askeri bilim,war science|military arts and sciences|military arts and science|military art and science|Military Science,Militärwissenschaften|Kriegswissenschaft|Kriegswissenschaften|Wehrwissenschaft|Wehrwissenschaften,J01.675
MESH:D035422|Q192398,wikidata-mesh,pleural cavity,Pleurahöhle,Akciğer zarı,pleural space,Brustfell|Rippenfell|Lungenfell|Pleura|Cavitas pleuralis|Pleura parietalis|Pleura pulmonalis|Pleura visceralis|Pleura viszeralis|Pleuraflüssigkeit|Pleural|Pleuralspalt|Pleuraraum|Pleuraspalt|Rippfell,A01.923.761.800.650
MESH:D004027|Q192419,wikidata-mesh,diencephalon,Zwischenhirn,Ara beyin,,,A08.186.211.200.317
MESH:D056571|Q192425,wikidata-mesh,postcard,Postkarte,kartpostal,post card,Briefkarte|Carte postale|Correspondenzkarte,V02.731
MESH:D016045|Q192446,wikidata-mesh,Human Genome Project,Humangenomprojekt,İnsan Genom Projesi,HGP,Deutsches Humangenomprojekt|DHGP|HGP|Human Genome Project|Humangenom-Projekt|IHGSC,H01.158.273.180.350.174|H01.158.273.343.249.400|H01.158.273.343.350.174|H01.158.273.343.385.875|H01.770.644.145.350.500|L01.462.750.450
MESH:D011386|Q1501864,wikidata-mesh,projective test,projektiver Test,,projective technique,Deutungstest|Deutungstests|projektive Tests|projektive Verfahren|projektives Verfahren|Persönlichkeits-Entfaltungsverfahren,F04.711.647.622
MESH:D013008|Q1501937,wikidata-mesh,somatotype,Körperbautyp,,,,E01.370.600.115.800|G07.100.175.750
MESH:D020869|Q1502169,wikidata-mesh,gene expression profiling,Genexpressionsanalyse,,transcriptional profiling|expression profiling|mRNA profiling|profiling,Expressionsanalyse,E05.393.332
MESH:D063172|Q1502234,wikidata-mesh,genioplasty,Genioplastik,çene ameliyatı,,Kinnplastik,E06.645.562.249
MESH:D011115|Q1502312,wikidata-mesh,polyneuropathy,Polyneuropathie,polinöropati,"symmetrical polyneuropathy|Polyneuropathy, unspecified (disorder)|Polyneuropathy unspecified (disorder)|Polyneuropathy unspecified|Polyneuropathy (disorder)|Polyneuropathies",,C10.668.829.800
MESH:D001309|Q1504201,wikidata-mesh,absolute threshold of hearing,Hörschwelle,,threshold of hearing|threshold of audibility|auditory threshold|ATH,Hörschwellenschalldruck|Ruhehörschwelle,F02.463.593.710.190|G07.888.125.173
MESH:D000078182|Q1504425,wikidata-mesh,systematic review,systematische Übersichtsarbeit,,systematic literature review|systematic reviews,Review,V02.912.875|V03.850
MESH:D059228|Q1504516,wikidata-mesh,nutcracker syndrome,Nussknacker-Syndrom,,Renal Nutcracker Syndrome|Left renal vein entrapment syndrome|RNS,,C12.050.351.968.419.787|C12.200.777.419.787|C12.950.419.787
MESH:D020151|Q1504570,wikidata-mesh,protein C deficiency,Protein-C-Mangel,,,Purpura fulminans,C15.378.925.795|C16.320.099.690|C15.378.100.100.690|C15.378.147.880
MESH:D007890|Q1504713,wikidata-mesh,leiomyosarcoma,Leiomyosarkom,,"Leiomyosarcomas|Leiomyosarcoma, LMS",,C04.557.450.590.455|C04.557.450.795.455
MESH:D006876|Q1505538,wikidata-mesh,hydrothorax,Serothorax,hidrotoraks,,,C08.528.476
MESH:D013717|Q1505689,wikidata-mesh,tenosynovitis,Sehnenscheidenentzündung,Tenosinovit,Tenosynovitides|tendon sheathitis|tendon sheath inflammation|Inflammation of tendon sheath,Paratendinitis|Peritendinitis|Quervain-Krankheit|Tendovaginitis,C05.651.869.870
MESH:D022861|Q1506216,wikidata-mesh,Hermansky-Pudlak syndrome,Hermansky-Pudlak-Syndrom,Hermansky-Pudlak sendromu,HPS (Hermansky Pudlak syndrome)|HPS,,C11.270.040.545.400|C15.378.100.100.515|C15.378.100.685.400|C15.378.140.735.400|C15.378.463.735.400|C16.320.099.515|C16.320.290.040.100.400|C16.320.565.100.102.100.400|C16.320.850.080.100.400|C17.800.621.440.102.100.400|C17.800.827.080.100.400|C18.452.648.100.102.100.400
